Itterate ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_R ,MAX_ABS_U_Error_position_C ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_R ,MAX_ABS_V_Error_position_C ,MAX_RS_Error ,MAX_RS_Error_Position_R ,MAX_RS_Error_Position_C ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_R ,Bulk_Velocity_ABS_Error_Position_C
100,NaN,0.014010227810543641,99,100,0.019922967203453292,99,100,1.0,3,2,0.0005932111054932059,99,100
200,1.0426650666285242,0.013145112483863717,100,99,0.009756798272804387,98,100,50.53806000822887,100,94,0.000558307572837918,99,100
300,0.39598072498067405,0.011691027518748141,100,98,0.0207353496531183,100,100,3.1236342904567036,2,100,0.001204650813923657,100,100
400,3.0930174229913416,0.04556288742237269,100,100,0.028439935727217928,99,100,153.90833288853867,26,51,0.0022436079999177076,99,100
500,0.8138284816023073,0.06939835885906157,100,100,0.05040816558738142,99,100,5.789211311495482,99,100,0.003049055172671023,99,100
600,0.694311502767314,0.03877278169980543,100,100,0.0390724696984983,98,100,23.86154039517816,99,79,0.002770275005446749,100,100
700,2.11870823754282,0.017539548462092696,97,99,0.014701282704391753,94,98,130.97271903146518,8,21,0.0006756722374101066,97,99
800,0.42172271113451615,0.01184948970155432,97,99,0.009602763860113543,94,97,9.283836284923334,97,86,0.0006682162783303836,100,99
900,0.3753082296485412,0.01264630356884991,98,100,0.008645399511767899,94,100,5.234994416391681,10,2,0.000790330688901093,100,100
1000,0.4813223431799227,0.008271411230767505,91,97,0.006652360656493512,95,100,11.180900220622098,25,2,0.0004509624190549041,95,100
1100,6.887914527788502,0.00951342670110669,90,97,0.008220840930660594,93,100,337.3249023393343,4,51,0.00045096850595127897,93,100
1200,0.572171506609067,0.009028209396950362,89,96,0.007426696555194786,91,99,7.243145014821302,93,95,0.00045695664662759317,93,100
1300,0.188215851898069,0.008536553352980394,88,95,0.006885878689684197,89,98,4.903624142272033,84,100,0.000383169666968312,91,99
1400,1.9039674535540736,0.008445627999098917,86,95,0.006688215743556741,89,98,28.74802438842181,2,57,0.0003889534486877346,88,97
1500,1.2316420336559737,0.008321757450994467,85,95,0.006331238339049125,87,97,37.15856614927248,24,2,0.00039586378320897206,87,97
1600,0.33082731188545533,0.00845854827323264,84,94,0.0069110545611688525,90,100,7.187075334357051,90,93,0.0004036842879003797,85,95
1700,0.20397552693462032,0.008183803710549492,83,93,0.006626341083077528,90,100,1.8783310618571694,74,100,0.0004215546187826382,85,96
1800,0.2965851817419241,0.008048176644813066,82,93,0.007575356765308995,88,100,4.794702293652739,8,100,0.00040524193533866885,83,94
1900,0.2765099348857176,0.00810820474587275,82,92,0.0060229625255272985,88,100,1.6209630878092327,2,100,0.0004193140304641623,83,95
2000,0.6074386637998654,0.008060472938227505,81,91,0.0060807234891854575,86,100,12.546319624216132,21,2,0.000403864096602982,82,95
2100,1.2425748852028577,0.00803108515421351,80,91,0.005429947079077298,83,98,15.8509545949834,2,9,0.00038746027225972904,81,94
2200,0.1776798915351297,0.00808583714259983,79,91,0.005238495646861338,84,99,2.574549163083009,66,100,0.000378029374681016,80,94
2300,0.303058898958447,0.007837463006398464,78,91,0.005263068159132977,81,97,2.475437763218269,8,2,0.00037095290263169825,79,93
2400,0.4052684867129055,0.00738506104137477,77,91,0.004782844596396489,81,98,3.603013282226352,2,100,0.00035789566514534516,79,95
2500,0.2373510759815646,0.006708373356048363,76,91,0.004643347998800909,79,96,3.7252138556071146,60,100,0.00034707011520117097,78,94
2600,0.16930174625493766,0.006980170519588595,76,91,0.004848676616026452,79,97,2.7757524422436846,85,89,0.00035406996547902533,77,93
2700,0.14647692181708932,0.006952235276491418,75,90,0.004530429646322566,79,83,1.7256877312793673,60,100,0.00034738551297360497,76,93
2800,0.25699076929039594,0.006642709610438981,74,90,0.004307685130735286,77,96,4.118827643375907,84,88,0.0003336700490281754,75,92
2900,0.13400662070462863,0.006515830227132771,73,90,0.004227159933250971,77,97,1.3819822125887644,64,100,0.0003326557180345882,74,91
3000,0.2854050462177931,0.00666334321855605,73,89,0.004171626921320691,78,81,2.9041704832548594,54,100,0.00032210011511510047,74,93
3100,0.25008700608995843,0.006713143913875869,72,89,0.004022217487207002,75,96,2.8297350126216165,62,100,0.00032456418952347065,73,92
3200,0.15684536704721405,0.006562732239327421,71,89,0.0037492730851494873,76,81,2.859425097573039,56,100,0.000308586010252201,72,91
3300,0.17758449262710835,0.006360050762720124,70,89,0.0035592936657453927,76,80,0.9370761807084045,70,99,0.000301124084936264,71,90
