Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
1001,0.825611,1,0.0916303,104,139,0.055112,119,132,1,0,140,0.00839617,104,139,
2001,1.6504,0.597259,0.0238918,120,107,0.0355931,124,117,18.8631,110,119,0.00277166,123,120,
3001,2.47518,0.431451,0.0230416,121,94,0.0236887,128,104,12.147,109,110,0.00179248,127,103,
4001,3.29997,0.40796,0.0203989,122,83,0.0163572,131,92,13.7543,107,104,0.00122426,128,88,
5001,4.12476,1.07122,0.0168222,121,73,0.0119611,134,84,70.6293,153,66,0.000884965,128,77,
6001,4.94954,1.25406,0.0135206,119,65,0.00909014,136,76,135.374,165,44,0.000666459,127,68,
7001,5.77433,1.66176,0.0109387,118,58,0.00732626,88,77,184.648,175,21,0.000521478,126,61,
8001,6.59911,0.638696,0.00896477,118,52,0.0063387,84,74,26.7144,172,17,0.000419714,127,56,
9001,7.4239,0.379285,0.00743756,117,47,0.00551692,80,71,12.6781,162,1,0.000345171,127,51,
10001,8.24869,0.312335,0.00624409,116,43,0.00480681,77,68,11.8046,159,33,0.000288631,124,46,
11001,9.07347,0.250388,0.00528187,115,40,0.00420732,73,68,12.2405,152,1,0.000244166,125,43,
12001,9.89826,0.201671,0.004497,114,37,0.00369221,70,66,11.5749,148,1,0.000208761,125,40,
13001,10.723,0.164565,0.00385829,115,34,0.00323833,67,66,8.21199,145,1,0.000180327,124,37,
14001,11.5478,0.126062,0.00333292,114,32,0.00283678,65,65,4.46268,143,1,0.000157251,125,35,
15001,12.3726,0.130391,0.00290503,114,30,0.0024877,63,64,9.16071,159,56,0.00013855,128,34,
16001,13.1974,0.158992,0.00255536,115,28,0.00218391,63,61,16.0367,94,85,0.000123312,127,32,
17001,14.0222,0.10913,0.0022621,116,26,0.0019254,62,60,5.6453,73,5,0.000110619,128,31,
18001,14.847,0.116614,0.00201728,115,25,0.00170592,60,61,7.5498,74,5,9.97425e-05,131,31,
19001,15.6718,0.219724,0.00180388,115,24,0.00151588,60,59,17.7809,66,12,8.99829e-05,131,30,
20001,16.4965,0.109284,0.00161519,115,23,0.00135,59,59,5.22133,75,6,8.10158e-05,133,30,
21001,17.3213,0.0951808,0.00144599,115,22,0.00120138,59,58,2.99098,87,1,7.26993e-05,133,29,
22001,18.1461,0.0853319,0.00129273,116,21,0.00106729,58,58,4.08771,89,1,6.49551e-05,133,28,
23001,18.9709,0.0799685,0.00115306,116,20,0.000946155,58,57,4.70834,75,8,5.77783e-05,133,27,
24001,19.7957,0.0717522,0.00102454,116,19,0.000837682,57,58,5.68291,93,82,5.12362e-05,132,26,
25001,20.6205,0.0493046,0.000909121,115,19,0.000741789,57,57,1.81684,76,8,4.53314e-05,124,23,
26001,21.4453,0.0603965,0.000802032,116,18,0.000655998,57,56,5.35334,63,18,4.01514e-05,119,22,
27001,22.27,0.0394124,0.000705775,115,18,0.000579471,57,56,2.02211,161,52,3.534e-05,116,22,
28001,23.0948,0.0311519,0.000617595,114,18,0.000509973,56,57,1.01507,76,9,3.11025e-05,117,21,
29001,23.9196,0.0452664,0.000538729,115,17,0.000446856,56,56,4.78217,76,9,2.72002e-05,116,21,
30001,24.7444,0.0242593,0.000468613,115,17,0.000389521,56,56,1.0011,76,9,2.36494e-05,114,21,
31001,25.5692,0.0199507,0.000406041,115,17,0.000337965,55,57,0.726273,161,17,2.05141e-05,116,20,
32001,26.394,0.0174071,0.000350855,114,17,0.000292286,55,57,0.90523,161,17,1.77718e-05,116,20,
33001,27.2188,0.0144926,0.000302736,115,16,0.000252476,55,57,0.657359,161,17,1.53651e-05,115,20,
34001,28.0436,0.0122246,0.000260612,115,16,0.00021821,55,56,0.451978,62,20,1.32673e-05,115,20,
35001,28.8683,0.0111274,0.00022382,115,16,0.000188672,55,56,0.667255,62,20,1.14427e-05,114,20,
36001,29.6931,0.0138273,0.000191857,115,16,0.000162885,55,56,1.42016,62,20,9.84867e-06,114,20,
37001,30.5179,0.0191175,0.000164222,115,16,0.000140219,53,59,2.2904,62,20,8.4544e-06,113,20,
38001,31.3427,0.00830624,0.000140429,114,16,0.000120285,53,59,0.726992,62,20,7.23934e-06,113,20,
39001,32.1675,0.00598669,0.00012,114,16,0.000102824,53,59,0.391124,62,20,6.18771e-06,113,20,
40001,32.9923,0.00475258,0.000102492,114,16,8.77592e-05,53,59,0.250843,62,20,5.28682e-06,113,20,
41001,33.8171,0.00388683,8.74942e-05,114,16,7.49707e-05,53,59,0.174923,62,20,4.52141e-06,112,20,
42001,34.6418,0.00324091,7.46452e-05,114,16,6.42165e-05,54,57,0.129294,62,20,3.87145e-06,112,20,
43001,35.4666,0.00274844,6.36385e-05,114,16,5.5137e-05,53,59,0.100474,62,20,3.31662e-06,112,20,
44001,36.2914,0.00235765,5.42197e-05,114,16,4.73714e-05,53,59,0.0812412,62,20,2.83917e-06,113,20,
45001,37.1162,0.00202716,4.61757e-05,114,16,4.06219e-05,53,59,0.0671564,62,20,2.42593e-06,113,20,
46001,37.941,0.00173133,3.93219e-05,114,16,3.47132e-05,53,59,0.0556675,62,20,2.06858e-06,112,20,
47001,38.7658,0.00146213,3.34921e-05,114,16,2.95732e-05,53,59,0.0456771,62,20,1.76215e-06,112,20,
48001,39.5906,0.00122416,2.85351e-05,114,16,2.51755e-05,53,59,0.037034,62,20,1.50208e-06,112,20,
49001,40.4153,0.0010251,2.43151e-05,114,16,2.14801e-05,53,59,0.0299628,62,20,1.28295e-06,112,20,
50001,41.2401,0.000867198,2.07159e-05,114,16,1.84029e-05,53,59,0.0247536,94,1,1.09837e-06,113,20,
51001,42.0649,0.000744546,1.76421e-05,114,16,1.58243e-05,53,59,0.0218078,94,1,9.44422e-07,48,71,
52001,42.8897,0.000646111,1.50174e-05,114,16,1.36229e-05,52,61,0.0194652,94,1,8.17829e-07,48,71,
53001,43.7145,0.000560837,1.27835e-05,112,17,1.17143e-05,52,61,0.0176443,76,10,7.08114e-07,48,72,
54001,44.5393,0.000481742,1.08821e-05,113,17,1.00328e-05,52,61,0.0158369,76,10,6.11076e-07,48,72,
55001,45.3641,0.000407501,9.26707e-06,113,17,8.56292e-06,52,61,0.0137939,76,10,5.24491e-07,48,72,
56001,46.1888,0.000340978,7.89784e-06,113,17,7.30536e-06,51,63,0.0116767,76,10,4.48844e-07,48,72,
57001,47.0136,0.000285765,6.7368e-06,113,17,6.25413e-06,51,63,0.00977779,76,10,3.84867e-07,48,72,
58001,47.8384,0.00024307,5.74918e-06,113,17,5.38604e-06,51,63,0.0083168,76,10,3.32176e-07,48,72,
59001,48.6632,0.000210904,4.9054e-06,113,17,4.66409e-06,51,63,0.00732165,76,10,2.88956e-07,47,74,
60001,49.488,0.00018541,4.1824e-06,113,17,4.04749e-06,51,63,0.00664319,76,10,2.52762e-07,47,74,
61001,50.3128,0.000162834,3.56312e-06,113,17,3.5089e-06,50,65,0.00606605,76,10,2.21162e-07,47,75,
62001,51.1376,0.000141018,3.03596e-06,112,18,3.02906e-06,49,67,0.00543279,76,10,1.92802e-07,47,75,
63001,51.9623,0.000119911,2.58847e-06,112,18,2.60701e-06,49,67,0.00470987,76,10,1.67087e-07,47,75,
64001,52.7871,0.000100907,2.21033e-06,112,18,2.24204e-06,49,67,0.00397192,76,10,1.4442e-07,47,75,
65001,53.6119,8.54728e-05,1.89124e-06,112,18,1.93671e-06,49,67,0.00333045,76,10,1.25308e-07,47,76,
66001,54.4367,7.40295e-05,1.62052e-06,112,18,1.68707e-06,48,69,0.00285848,76,10,1.0973e-07,47,76,
67001,55.2615,6.57747e-05,1.39231e-06,111,19,1.48167e-06,49,68,0.00255358,76,10,9.70476e-08,47,76,
68001,56.0863,5.92957e-05,1.19565e-06,111,19,1.30777e-06,48,70,0.00235141,76,10,8.6432e-08,47,77,
69001,56.9111,5.33225e-05,1.03609e-06,65,126,1.15392e-06,47,72,0.00217083,76,10,7.70228e-08,47,77,
70001,57.7359,4.72367e-05,9.62466e-07,66,126,1.01513e-06,47,73,0.00195881,76,10,6.92984e-08,69,128,
71001,58.5606,4.11837e-05,8.90587e-07,67,126,8.89865e-07,46,75,0.00171035,76,10,6.41677e-08,69,128,
72001,59.3854,3.57544e-05,8.15925e-07,68,126,7.79994e-07,46,75,0.001458,76,10,5.88547e-08,69,128,
73001,60.2102,3.14559e-05,7.40702e-07,69,126,6.87793e-07,46,76,0.00124347,76,10,5.34315e-08,70,128,
74001,61.035,2.83598e-05,6.71075e-07,70,125,6.12513e-07,47,75,0.00109082,76,10,4.82968e-08,70,128,
75001,61.8598,2.61384e-05,6.13506e-07,70,125,5.63204e-07,122,83,0.000995502,76,10,4.39242e-08,70,127,
76001,62.6846,2.43225e-05,5.6805e-07,70,125,5.21937e-07,122,82,0.000931758,76,10,4.04656e-08,70,127,
77001,63.5094,2.25383e-05,5.32351e-07,71,124,4.88105e-07,122,82,0.000870264,76,10,3.77225e-08,70,127,
78001,64.3341,2.06445e-05,5.00407e-07,71,124,4.6067e-07,121,83,0.000793929,76,10,3.53506e-08,70,127,
79001,65.1589,1.87359e-05,4.6805e-07,71,124,4.36636e-07,121,83,0.000703601,76,10,3.30349e-08,70,127,
80001,65.9837,1.70129e-05,4.34356e-07,72,124,4.12729e-07,121,83,0.000612808,76,10,3.06384e-08,70,127,
81001,66.8085,1.56132e-05,4.00961e-07,73,123,3.87714e-07,121,83,0.000536847,76,10,2.82343e-08,71,126,
82001,67.6333,1.45355e-05,3.70389e-07,73,123,3.62347e-07,121,82,0.000483423,76,10,2.59929e-08,71,126,
83001,68.4581,1.36772e-05,3.44329e-07,73,122,3.38054e-07,121,82,0.000449608,76,10,2.40499e-08,71,126,
84001,69.2829,1.29091e-05,3.23149e-07,73,122,3.16225e-07,121,81,0.000425376,76,10,2.24392e-08,71,126,
85001,70.1076,1.21356e-05,3.04823e-07,74,121,2.97342e-07,121,81,0.000400308,76,10,2.10823e-08,71,126,
86001,70.9324,1.13292e-05,2.87606e-07,74,121,2.8086e-07,120,82,0.00036906,76,10,1.98488e-08,71,126,
87001,71.7572,1.05265e-05,2.70145e-07,74,121,2.65697e-07,120,82,0.000332866,76,10,1.86331e-08,71,126,
88001,72.582,9.78634e-06,2.5244e-07,74,121,2.50803e-07,120,82,0.000297147,76,10,1.74003e-08,71,126,
