title="d2z6      Re=1000     iterations=229001 "
 zone t="d2z6"variables=u/U,Y
-0.000118 0.000000
-0.002327 0.002283
-0.006977 0.004566
-0.011543 0.006849
-0.016142 0.009132
-0.020611 0.011416
-0.025180 0.013699
-0.029572 0.015982
-0.034130 0.018265
-0.038468 0.020548
-0.043034 0.022831
-0.047338 0.025114
-0.051932 0.027397
-0.056223 0.029680
-0.060863 0.031963
-0.065162 0.034247
-0.069864 0.036530
-0.074192 0.038813
-0.078971 0.041096
-0.083348 0.043379
-0.088217 0.045662
-0.092660 0.047945
-0.097630 0.050228
-0.102156 0.052511
-0.107235 0.054795
-0.111855 0.057078
-0.117047 0.059361
-0.121772 0.061644
-0.127079 0.063927
-0.131915 0.066210
-0.137335 0.068493
-0.142283 0.070776
-0.147811 0.073059
-0.152870 0.075342
-0.158495 0.077626
-0.163660 0.079909
-0.169370 0.082192
-0.174630 0.084475
-0.180410 0.086758
-0.185751 0.089041
-0.191581 0.091324
-0.196988 0.093607
-0.202846 0.095890
-0.208299 0.098174
-0.214162 0.100457
-0.219637 0.102740
-0.225479 0.105023
-0.230953 0.107306
-0.236745 0.109589
-0.242192 0.111872
-0.247907 0.114155
-0.253299 0.116438
-0.258905 0.118721
-0.264213 0.121005
-0.269682 0.123288
-0.274877 0.125571
-0.280178 0.127854
-0.285230 0.130137
-0.290332 0.132420
-0.295212 0.134703
-0.300087 0.136986
-0.304766 0.139269
-0.309384 0.141553
-0.313834 0.143836
-0.318169 0.146119
-0.322363 0.148402
-0.326388 0.150685
-0.330302 0.152968
-0.333996 0.155251
-0.337605 0.157534
-0.340947 0.159817
-0.344232 0.162100
-0.347205 0.164384
-0.350148 0.166667
-0.352738 0.168950
-0.355324 0.171233
-0.357521 0.173516
-0.359740 0.175799
-0.361538 0.178082
-0.363382 0.180365
-0.364778 0.182648
-0.366245 0.184932
-0.367241 0.187215
-0.368331 0.189498
-0.368933 0.191781
-0.369649 0.194064
-0.369867 0.196347
-0.370219 0.198630
-0.370065 0.200913
-0.370064 0.203196
-0.369555 0.205479
-0.369216 0.207763
-0.368371 0.210046
-0.367712 0.212329
-0.366553 0.214612
-0.365594 0.216895
-0.364145 0.219178
-0.362907 0.221461
-0.361193 0.223744
-0.359701 0.226027
-0.357749 0.228311
-0.356027 0.230594
-0.353862 0.232877
-0.351936 0.235160
-0.349586 0.237443
-0.347480 0.239726
-0.344972 0.242009
-0.342712 0.244292
-0.340070 0.246575
-0.337679 0.248858
-0.334928 0.251142
-0.332431 0.253425
-0.329593 0.255708
-0.327011 0.257991
-0.324108 0.260274
-0.321461 0.262557
-0.318512 0.264840
-0.315819 0.267123
-0.312840 0.269406
-0.310118 0.271689
-0.307125 0.273973
-0.304389 0.276256
-0.301396 0.278539
-0.298657 0.280822
-0.295674 0.283105
-0.292946 0.285388
-0.289982 0.287671
-0.287273 0.289954
-0.284336 0.292237
-0.281653 0.294521
-0.278748 0.296804
-0.276097 0.299087
-0.273230 0.301370
-0.270616 0.303653
-0.267787 0.305936
-0.265213 0.308219
-0.262425 0.310502
-0.259892 0.312785
-0.257146 0.315068
-0.254656 0.317352
-0.251950 0.319635
-0.249502 0.321918
-0.246836 0.324201
-0.244430 0.326484
-0.241802 0.328767
-0.239436 0.331050
-0.236844 0.333333
-0.234516 0.335616
-0.231957 0.337900
-0.229665 0.340183
-0.227136 0.342466
-0.224877 0.344749
-0.222376 0.347032
-0.220148 0.349315
-0.217672 0.351598
-0.215471 0.353881
-0.213017 0.356164
-0.210841 0.358447
-0.208405 0.360731
-0.206252 0.363014
-0.203832 0.365297
-0.201698 0.367580
-0.199292 0.369863
-0.197175 0.372146
-0.194780 0.374429
-0.192677 0.376712
-0.190291 0.378995
-0.188201 0.381279
-0.185821 0.383562
-0.183741 0.385845
-0.181366 0.388128
-0.179294 0.390411
-0.176923 0.392694
-0.174858 0.394977
-0.172489 0.397260
-0.170428 0.399543
-0.168060 0.401826
-0.166003 0.404110
-0.163634 0.406393
-0.161580 0.408676
-0.159210 0.410959
-0.157157 0.413242
-0.154786 0.415525
-0.152733 0.417808
-0.150359 0.420091
-0.148306 0.422374
-0.145929 0.424658
-0.143875 0.426941
-0.141495 0.429224
-0.139440 0.431507
-0.137057 0.433790
-0.134999 0.436073
-0.132612 0.438356
-0.130553 0.440639
-0.128162 0.442922
-0.126100 0.445205
-0.123705 0.447489
-0.121640 0.449772
-0.119241 0.452055
-0.117174 0.454338
-0.114771 0.456621
-0.112700 0.458904
-0.110293 0.461187
-0.108219 0.463470
-0.105809 0.465753
-0.103732 0.468037
-0.101317 0.470320
-0.099237 0.472603
-0.096818 0.474886
-0.094735 0.477169
-0.092312 0.479452
-0.090226 0.481735
-0.087799 0.484018
-0.085709 0.486301
-0.083279 0.488584
-0.081186 0.490868
-0.078752 0.493151
-0.076655 0.495434
-0.074218 0.497717
-0.072117 0.500000
-0.069676 0.502283
-0.067572 0.504566
-0.065127 0.506849
-0.063019 0.509132
-0.060571 0.511416
-0.058459 0.513699
-0.056008 0.515982
-0.053892 0.518265
-0.051436 0.520548
-0.049317 0.522831
-0.046857 0.525114
-0.044733 0.527397
-0.042270 0.529680
-0.040142 0.531963
-0.037674 0.534247
-0.035542 0.536530
-0.033070 0.538813
-0.030933 0.541096
-0.028458 0.543379
-0.026315 0.545662
-0.023836 0.547945
-0.021688 0.550228
-0.019204 0.552511
-0.017052 0.554795
-0.014563 0.557078
-0.012405 0.559361
-0.009911 0.561644
-0.007748 0.563927
-0.005249 0.566210
-0.003079 0.568493
-0.000576 0.570776
0.001601 0.573059
0.004109 0.575342
0.006292 0.577626
0.008807 0.579909
0.010996 0.582192
0.013516 0.584475
0.015713 0.586758
0.018239 0.589041
0.020444 0.591324
0.022976 0.593607
0.025189 0.595890
0.027728 0.598174
0.029949 0.600457
0.032494 0.602740
0.034724 0.605023
0.037276 0.607306
0.039515 0.609589
0.042075 0.611872
0.044323 0.614155
0.046890 0.616438
0.049149 0.618721
0.051724 0.621005
0.053993 0.623288
0.056576 0.625571
0.058857 0.627854
0.061449 0.630137
0.063740 0.632420
0.066341 0.634703
0.068645 0.636986
0.071255 0.639269
0.073572 0.641553
0.076191 0.643836
0.078521 0.646119
0.081151 0.648402
0.083494 0.650685
0.086134 0.652968
0.088492 0.655251
0.091144 0.657534
0.093516 0.659817
0.096179 0.662100
0.098568 0.664384
0.101242 0.666667
0.103647 0.668950
0.106334 0.671233
0.108755 0.673516
0.111455 0.675799
0.113894 0.678082
0.116607 0.680365
0.119064 0.682648
0.121790 0.684932
0.124266 0.687215
0.127007 0.689498
0.129503 0.691781
0.132258 0.694064
0.134773 0.696347
0.137544 0.698630
0.140080 0.700913
0.142865 0.703196
0.145423 0.705479
0.148224 0.707763
0.150803 0.710046
0.153620 0.712329
0.156221 0.714612
0.159054 0.716895
0.161678 0.719178
0.164528 0.721461
0.167175 0.723744
0.170040 0.726027
0.172710 0.728311
0.175591 0.730594
0.178285 0.732877
0.181182 0.735160
0.183899 0.737443
0.186811 0.739726
0.189551 0.742009
0.192479 0.744292
0.195242 0.746575
0.198183 0.748858
0.200969 0.751142
0.203923 0.753425
0.206731 0.755708
0.209698 0.757991
0.212527 0.760274
0.215504 0.762557
0.218353 0.764840
0.221339 0.767123
0.224207 0.769406
0.227200 0.771689
0.230086 0.773973
0.233084 0.776256
0.235985 0.778539
0.238986 0.780822
0.241901 0.783105
0.244900 0.785388
0.247827 0.787671
0.250823 0.789954
0.253758 0.792237
0.256747 0.794521
0.259688 0.796804
0.262666 0.799087
0.265610 0.801370
0.268572 0.803653
0.271515 0.805936
0.274458 0.808219
0.277396 0.810502
