title="d2z6      Re=1000     iterations=229001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.005091
0.006849 0.025036
0.009589 0.044144
0.012329 0.062420
0.015068 0.079869
0.017808 0.096498
0.020548 0.112314
0.023288 0.127326
0.026027 0.141547
0.028767 0.154992
0.031507 0.167682
0.034247 0.179638
0.036986 0.190885
0.039726 0.201452
0.042466 0.211371
0.045205 0.220673
0.047945 0.229394
0.050685 0.237568
0.053425 0.245234
0.056164 0.252426
0.058904 0.259180
0.061644 0.265531
0.064384 0.271513
0.067123 0.277158
0.069863 0.282494
0.072603 0.287551
0.075342 0.292354
0.078082 0.296925
0.080822 0.301284
0.083562 0.305451
0.086301 0.309441
0.089041 0.313266
0.091781 0.316938
0.094521 0.320467
0.097260 0.323859
0.100000 0.327120
0.102740 0.330253
0.105479 0.333262
0.108219 0.336148
0.110959 0.338911
0.113699 0.341551
0.116438 0.344067
0.119178 0.346458
0.121918 0.348721
0.124658 0.350855
0.127397 0.352856
0.130137 0.354724
0.132877 0.356454
0.135616 0.358044
0.138356 0.359494
0.141096 0.360799
0.143836 0.361959
0.146575 0.362971
0.149315 0.363835
0.152055 0.364549
0.154795 0.365113
0.157534 0.365525
0.160274 0.365787
0.163014 0.365897
0.165753 0.365857
0.168493 0.365667
0.171233 0.365329
0.173973 0.364845
0.176712 0.364214
0.179452 0.363441
0.182192 0.362527
0.184932 0.361476
0.187671 0.360289
0.190411 0.358970
0.193151 0.357522
0.195890 0.355949
0.198630 0.354255
0.201370 0.352444
0.204110 0.350520
0.206849 0.348486
0.209589 0.346348
0.212329 0.344110
0.215068 0.341776
0.217808 0.339351
0.220548 0.336840
0.223288 0.334247
0.226027 0.331577
0.228767 0.328834
0.231507 0.326024
0.234247 0.323150
0.236986 0.320217
0.239726 0.317230
0.242466 0.314193
0.245205 0.311109
0.247945 0.307984
0.250685 0.304822
0.253425 0.301625
0.256164 0.298398
0.258904 0.295144
0.261644 0.291867
0.264384 0.288570
0.267123 0.285256
0.269863 0.281927
0.272603 0.278588
0.275342 0.275239
0.278082 0.271885
0.280822 0.268526
0.283562 0.265165
0.286301 0.261804
0.289041 0.258445
0.291781 0.255089
0.294521 0.251737
0.297260 0.248392
0.300000 0.245053
0.302740 0.241723
0.305479 0.238402
0.308219 0.235091
0.310959 0.231790
0.313699 0.228500
0.316438 0.225222
0.319178 0.221956
0.321918 0.218701
0.324658 0.215459
0.327397 0.212229
0.330137 0.209012
0.332877 0.205807
0.335616 0.202614
0.338356 0.199433
0.341096 0.196265
0.343836 0.193107
0.346575 0.189962
0.349315 0.186827
0.352055 0.183703
0.354795 0.180590
0.357534 0.177486
0.360274 0.174393
0.363014 0.171308
0.365753 0.168232
0.368493 0.165165
0.371233 0.162106
0.373973 0.159055
0.376712 0.156011
0.379452 0.152974
0.382192 0.149943
0.384932 0.146919
0.387671 0.143900
0.390411 0.140886
0.393151 0.137878
0.395890 0.134874
0.398630 0.131875
0.401370 0.128880
0.404110 0.125888
0.406849 0.122900
0.409589 0.119915
0.412329 0.116934
0.415068 0.113954
0.417808 0.110978
0.420548 0.108004
0.423288 0.105031
0.426027 0.102061
0.428767 0.099092
0.431507 0.096125
0.434247 0.093160
0.436986 0.090195
0.439726 0.087232
0.442466 0.084269
0.445205 0.081308
0.447945 0.078347
0.450685 0.075387
0.453425 0.072427
0.456164 0.069468
0.458904 0.066509
0.461644 0.063550
0.464384 0.060591
0.467123 0.057633
0.469863 0.054674
0.472603 0.051716
0.475342 0.048757
0.478082 0.045799
0.480822 0.042840
0.483562 0.039881
0.486301 0.036921
0.489041 0.033961
0.491781 0.031001
0.494521 0.028040
0.497260 0.025078
0.500000 0.022116
0.502740 0.019154
0.505479 0.016190
0.508219 0.013226
0.510959 0.010261
0.513699 0.007295
0.516438 0.004328
0.519178 0.001360
0.521918 -0.001608
0.524658 -0.004578
0.527397 -0.007550
0.530137 -0.010522
0.532877 -0.013495
0.535616 -0.016470
0.538356 -0.019447
0.541096 -0.022425
0.543836 -0.025404
0.546575 -0.028385
0.549315 -0.031368
0.552055 -0.034352
0.554795 -0.037338
0.557534 -0.040326
0.560274 -0.043316
0.563014 -0.046308
0.565753 -0.049301
0.568493 -0.052297
0.571233 -0.055295
0.573973 -0.058296
0.576712 -0.061298
0.579452 -0.064303
0.582192 -0.067310
0.584932 -0.070320
0.587671 -0.073332
0.590411 -0.076346
0.593151 -0.079363
0.595890 -0.082383
0.598630 -0.085405
0.601370 -0.088429
0.604110 -0.091457
0.606849 -0.094487
0.609589 -0.097520
0.612329 -0.100555
0.615068 -0.103593
0.617808 -0.106634
0.620548 -0.109677
0.623288 -0.112723
0.626027 -0.115771
0.628767 -0.118822
0.631507 -0.121876
0.634247 -0.124932
0.636986 -0.127990
0.639726 -0.131050
0.642466 -0.134113
0.645205 -0.137178
0.647945 -0.140245
0.650685 -0.143313
0.653425 -0.146384
0.656164 -0.149456
0.658904 -0.152530
0.661644 -0.155604
0.664384 -0.158681
0.667123 -0.161758
0.669863 -0.164836
0.672603 -0.167914
0.675342 -0.170993
0.678082 -0.174073
0.680822 -0.177152
0.683562 -0.180232
0.686301 -0.183311
0.689041 -0.186390
0.691781 -0.189468
0.694521 -0.192546
0.697260 -0.195623
0.700000 -0.198700
0.702740 -0.201775
0.705479 -0.204850
0.708219 -0.207923
0.710959 -0.210996
0.713699 -0.214069
0.716438 -0.217141
0.719178 -0.220213
0.721918 -0.223285
0.724658 -0.226358
0.727397 -0.229432
0.730137 -0.232509
0.732877 -0.235588
0.735616 -0.238672
0.738356 -0.241760
0.741096 -0.244855
0.743836 -0.247959
0.746575 -0.251072
0.749315 -0.254197
0.752055 -0.257336
0.754795 -0.260492
0.757534 -0.263668
0.760274 -0.266866
0.763014 -0.270091
0.765753 -0.273346
0.768493 -0.276635
0.771233 -0.279962
0.773973 -0.283333
0.776712 -0.286752
0.779452 -0.290226
0.782192 -0.293759
0.784932 -0.297359
0.787671 -0.301032
0.790411 -0.304783
0.793151 -0.308622
0.795890 -0.312554
0.798630 -0.316586
0.801370 -0.320727
0.804110 -0.324982
0.806849 -0.329360
0.809589 -0.333867
0.812329 -0.338509
0.815068 -0.343292
0.817808 -0.348221
0.820548 -0.353299
0.823288 -0.358529
0.826027 -0.363913
0.828767 -0.369450
0.831507 -0.375137
0.834247 -0.380971
0.836986 -0.386944
0.839726 -0.393047
0.842466 -0.399268
0.845205 -0.405589
0.847945 -0.411992
0.850685 -0.418454
0.853425 -0.424948
0.856164 -0.431443
0.858904 -0.437904
0.861644 -0.444292
0.864384 -0.450563
0.867123 -0.456671
0.869863 -0.462565
0.872603 -0.468189
0.875342 -0.473487
0.878082 -0.478398
0.880822 -0.482859
0.883562 -0.486808
0.886301 -0.490179
0.889041 -0.492907
0.891781 -0.494928
0.894521 -0.496180
0.897260 -0.496603
0.900000 -0.496139
0.902740 -0.494737
0.905479 -0.492348
0.908219 -0.488931
0.910959 -0.484449
0.913699 -0.478875
0.916438 -0.472188
0.919178 -0.464377
0.921918 -0.455437
0.924658 -0.445377
0.927397 -0.434212
0.930137 -0.421968
0.932877 -0.408682
0.935616 -0.394401
0.938356 -0.379181
0.941096 -0.363089
0.943836 -0.346201
0.946575 -0.328601
0.949315 -0.310382
0.952055 -0.291645
0.954795 -0.272493
0.957534 -0.253039
0.960274 -0.233395
0.963014 -0.213675
0.965753 -0.193997
0.968493 -0.174472
0.971233 -0.155213
0.973973 -0.136326
0.976712 -0.117912
0.979452 -0.100066
0.982192 -0.082874
0.984932 -0.066414
0.987671 -0.050755
0.990411 -0.035954
0.993151 -0.022060
0.995890 -0.009110
0.998630 -0.000433
