Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
1001,1.01116,1,0.103894,115,140,0.0589822,118,137,1,0,140,0.0108477,115,140,
2001,2.02132,0.715498,0.0364409,109,138,0.0583722,119,136,51.7606,119,117,0.0036773,121,129,
3001,3.03147,0.639693,0.0201786,138,85,0.0351653,132,101,19.2816,89,134,0.00213583,132,104,
4001,4.04162,0.94657,0.0347888,136,79,0.0262527,142,86,47.7438,113,126,0.0024469,137,80,
5001,5.05177,0.418328,0.0428111,137,80,0.0343824,127,84,11.8642,126,108,0.00217443,137,80,
6001,6.06193,0.606894,0.0218955,119,79,0.0219623,127,74,24.8991,158,58,0.00198784,118,138,
7001,7.07208,1.57373,0.0249027,142,65,0.0238164,147,59,133.59,178,18,0.00169201,147,61,
8001,8.08223,0.773162,0.0344089,130,78,0.0259901,151,63,39.5577,121,107,0.001977,118,138,
9001,9.09238,0.661703,0.0341455,118,131,0.0256528,118,130,26.0642,133,61,0.00222213,118,138,
10001,10.1025,0.724394,0.0283869,117,133,0.0332531,156,47,23.2352,130,96,0.00184184,119,136,
11001,11.1127,0.778035,0.0282052,118,135,0.0239104,105,63,46.9914,166,42,0.00150054,119,136,
12001,12.1228,0.979185,0.0266518,118,127,0.0217838,158,25,84.5363,83,72,0.00112987,158,25,
13001,13.133,0.896294,0.0342131,117,130,0.021665,118,128,54.6397,170,34,0.00163871,118,138,
14001,14.1431,1.15314,0.0366169,117,131,0.0264984,118,130,67.4586,26,93,0.00224881,118,138,
15001,15.1533,0.971843,0.0313221,118,131,0.0254389,118,131,29.7966,76,124,0.00183634,119,136,
16001,16.1635,0.775912,0.0272293,118,135,0.018222,118,126,23.1784,166,11,0.00158295,119,136,
17001,17.1736,1.55427,0.0271352,117,128,0.0224056,118,127,133.56,109,45,0.000982047,118,133,
18001,18.1838,1.75157,0.0309848,117,131,0.0223089,118,130,140.824,75,3,0.00206986,118,138,
19001,19.1939,0.725566,0.0303696,117,131,0.0188083,118,130,24.8363,183,8,0.00200553,118,138,
20001,20.2041,0.799802,0.0221608,117,126,0.0200201,159,20,38.961,89,53,0.00113282,118,134,
21001,21.2142,1.39033,0.0241898,117,128,0.0201373,153,12,138.226,175,24,0.00143958,118,138,
22001,22.2244,1.26619,0.0326463,159,3,0.0254331,162,12,48.9543,183,8,0.00220706,118,138,
23001,23.2345,1.66044,0.0292324,146,3,0.020517,119,137,88.5091,121,3,0.00176861,119,136,
24001,24.2447,1.52963,0.0257887,116,126,0.0187229,117,125,158.923,96,50,0.00133461,119,136,
25001,25.2548,1.05657,0.0238327,117,128,0.0184615,102,21,40.1135,85,54,0.00125079,74,40,
26001,26.265,3.69962,0.0327666,117,130,0.0186527,78,37,317.205,74,8,0.00198407,118,138,
27001,27.2751,1.15718,0.0315258,117,131,0.0193293,119,136,66.9568,67,79,0.00199334,118,138,
28001,28.2853,1.30765,0.0259658,118,135,0.0200837,117,126,85.0587,29,86,0.00144743,119,136,
29001,29.2954,0.77973,0.0258026,118,135,0.0151283,118,124,39.8117,23,99,0.00119912,118,133,
30001,30.3056,0.917622,0.0304211,117,130,0.0187256,118,128,66.1445,123,130,0.000947709,118,133,
31001,31.3157,1.97213,0.0368642,117,130,0.0216722,118,128,159.126,74,4,0.001929,118,138,
32001,32.3259,0.794406,0.0372633,117,130,0.0184932,115,134,43.4389,73,3,0.00190983,118,138,
33001,33.336,0.557288,0.0280929,118,131,0.0180226,119,137,16.1831,167,39,0.00158854,118,138,
34001,34.3462,0.512963,0.0221353,118,131,0.0147967,118,130,26.8969,10,123,0.00115818,118,138,
35001,35.3563,1.73176,0.0218381,117,128,0.0204348,164,16,139.937,168,38,0.000948991,163,17,
36001,36.3665,0.799354,0.0273414,117,130,0.0149847,118,128,37.9675,80,12,0.00119018,120,134,
37001,37.3767,0.901973,0.0319259,117,130,0.0145118,118,138,86.938,165,44,0.00158696,118,138,
38001,38.3868,1.15446,0.0292998,117,131,0.0164271,119,137,51.8995,68,24,0.00168273,118,138,
39001,39.397,1.12487,0.0215168,118,131,0.0197551,165,17,46.6938,93,8,0.00123066,119,136,
40001,40.4071,1.12464,0.0204955,117,127,0.0174375,46,55,76.0598,55,87,0.000884954,40,96,
41001,41.4173,1.45996,0.021531,36,110,0.0136453,49,65,64.6202,183,6,0.00105062,120,134,
42001,42.4274,1.02033,0.0225299,117,131,0.0132239,118,138,44.5943,10,123,0.00146186,118,138,
43001,43.4376,0.985919,0.0221301,117,131,0.0149944,59,115,40.8696,185,4,0.00123293,119,136,
44001,44.4477,1.40264,0.0246107,117,127,0.0188498,117,127,70.4537,84,108,0.00121635,119,136,
45001,45.4579,0.943233,0.0275751,117,128,0.018647,85,120,43.0627,95,106,0.00102149,147,16,
46001,46.468,0.857732,0.0309273,117,130,0.0176251,117,130,25.3879,102,97,0.00160629,120,134,
47001,47.4782,0.985336,0.0303856,117,131,0.0159058,118,138,47.5668,99,4,0.00169678,118,138,
48001,48.4883,9.36733,0.0277585,117,131,0.0317603,162,18,1196.6,75,16,0.00147546,118,138,
49001,49.4985,1.51591,0.0316665,154,3,0.0342265,159,11,84.4798,117,78,0.00127341,159,14,
50001,50.5086,1.58095,0.0342891,143,3,0.0242598,150,9,54.8297,91,3,0.00158744,140,4,
51001,51.5188,1.26196,0.023345,124,5,0.0234149,113,10,81.0237,123,56,0.00124942,104,16,
52001,52.5289,1.08163,0.0164329,100,19,0.0205083,93,18,59.1637,101,1,0.0011917,101,18,
53001,53.5391,1.28076,0.0144814,163,19,0.0256836,158,21,93.5358,175,19,0.00134767,158,21,
54001,54.5492,1.54904,0.0213863,162,18,0.0282421,158,21,70.9516,111,44,0.00159257,156,28,
55001,55.5594,3.15911,0.0180056,150,20,0.0197965,157,20,356.726,72,6,0.00122743,148,17,
56001,56.5696,1.51719,0.0192716,147,2,0.0257786,159,22,86.1413,177,4,0.00142067,158,22,
57001,57.5797,1.62878,0.022714,150,2,0.0170251,155,17,79.1355,85,3,0.00103701,146,3,
58001,58.5899,1.75816,0.0138902,169,5,0.0196931,169,12,175.044,59,26,0.000789081,169,10,
59001,59.6,1.18633,0.0199858,167,4,0.0216746,161,20,56.3325,82,3,0.000949442,159,41,
60001,60.6102,1.48905,0.0197027,154,5,0.020843,155,14,74.5646,104,2,0.00158112,152,26,
61001,61.6203,1.64668,0.0308657,166,16,0.0293499,154,23,141.078,185,4,0.00138993,147,19,
62001,62.6305,1.43823,0.0282627,147,2,0.0308672,155,23,135.794,23,97,0.00168781,148,23,
63001,63.6406,1.12812,0.021884,146,2,0.0213173,155,25,58.1798,56,32,0.00110835,151,25,
64001,64.6508,2.09059,0.0206378,163,24,0.0265713,157,29,128.182,73,6,0.00151227,151,26,
65001,65.6609,1.05363,0.0225946,151,6,0.02659,154,17,52.7442,71,4,0.00180647,151,29,
66001,66.6711,2.1634,0.0254565,157,16,0.0312628,154,18,223.449,91,2,0.00160542,151,29,
67001,67.6812,0.931399,0.0270793,153,5,0.0303088,159,29,33.7391,18,110,0.00161926,151,27,
68001,68.6914,1.72746,0.0264977,163,25,0.0290313,153,21,169.222,170,34,0.0015167,152,29,
69001,69.7015,1.65206,0.0301758,142,2,0.0227904,155,23,116.493,64,16,0.00144352,136,3,
70001,70.7117,0.909513,0.0149282,152,3,0.0132726,155,8,39.4767,17,109,0.000810809,157,31,
71001,71.7218,0.814834,0.018627,162,15,0.0206291,153,19,23.3535,177,1,0.00101511,153,21,
72001,72.732,1.54406,0.0166913,136,3,0.019129,52,42,110.558,174,1,0.00104075,135,3,
73001,73.7421,1.38662,0.0146853,135,3,0.0163965,45,57,73.9156,76,2,0.000898795,134,3,
74001,74.7523,1.59301,0.0159076,141,2,0.015729,52,42,134.209,106,60,0.000738911,65,32,
75001,75.7625,1.25546,0.021992,161,4,0.024595,162,11,48.6812,96,1,0.00123774,155,26,
76001,76.7726,1.27531,0.0297606,151,2,0.0314808,153,15,109.485,182,10,0.00154282,142,17,
77001,77.7828,1.13236,0.0319136,136,3,0.0214297,149,8,55.8304,111,3,0.0013397,136,5,
78001,78.7929,0.963001,0.0252402,118,5,0.0224506,80,19,50.2348,160,54,0.00141826,116,6,
79001,79.8031,1.26498,0.0198029,65,33,0.0272169,158,27,85.2185,85,76,0.00139966,157,30,
80001,80.8132,1.69911,0.0232814,151,2,0.021559,151,11,117.324,96,1,0.00116504,150,15,
81001,81.8234,0.778607,0.0144548,168,13,0.0168699,161,17,37.2127,173,1,0.00107785,130,3,
82001,82.8335,1.99301,0.0178677,165,4,0.0174392,162,17,226.981,16,111,0.000928723,141,15,
83001,83.8437,1.08465,0.0246726,160,3,0.0211125,155,18,34.4533,163,22,0.00112116,144,18,
84001,84.8538,1.0738,0.0231241,163,6,0.0305019,156,10,65.6241,155,1,0.00135081,151,25,
85001,85.864,1.13787,0.0268943,158,2,0.029693,153,18,91.0867,56,32,0.00156551,152,20,
86001,86.8741,2.68417,0.0209125,140,2,0.0249234,152,18,334.203,23,102,0.00135881,145,16,
87001,87.8843,1.90909,0.020487,163,25,0.0239379,152,19,220.164,70,4,0.00143393,144,18,
88001,88.8944,1.53856,0.0279243,140,2,0.0275675,156,24,92.8515,88,1,0.00145569,135,3,
89001,89.9046,0.826195,0.0200923,145,3,0.0184651,152,17,43.8006,17,109,0.00138647,150,25,
90001,90.9147,1.48245,0.0182234,134,3,0.0257954,153,20,106.644,165,43,0.00138055,147,22,
91001,91.9249,1.4483,0.0214457,137,3,0.0182837,153,21,82.9833,99,1,0.00131793,136,3,
92001,92.935,1.94522,0.0200073,140,2,0.0272467,151,20,202.58,87,8,0.00129399,142,18,
93001,93.9452,2.66722,0.0319121,141,2,0.0283314,154,20,307.086,171,12,0.00139596,135,3,
94001,94.9553,1.17372,0.0201421,146,5,0.019273,150,10,115.396,23,102,0.00109217,149,23,
95001,95.9655,1.35745,0.022816,161,15,0.0224133,154,20,97.8188,59,26,0.00127655,145,20,
96001,96.9757,0.927362,0.0233306,136,3,0.028879,154,20,51.5794,166,39,0.00153677,145,20,
97001,97.9858,1.04192,0.0261706,145,2,0.0360117,154,22,31.6785,70,5,0.0017928,146,21,
