title="d2z6      Re=38000     iterations=130001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.007730
0.006849 0.040990
0.009589 0.078037
0.012329 0.114671
0.015068 0.148216
0.017808 0.175862
0.020548 0.197780
0.023288 0.214221
0.026027 0.224730
0.028767 0.230587
0.031507 0.232265
0.034247 0.230269
0.036986 0.226151
0.039726 0.220555
0.042466 0.214186
0.045205 0.208305
0.047945 0.203211
0.050685 0.199050
0.053425 0.196119
0.056164 0.193954
0.058904 0.192183
0.061644 0.190829
0.064384 0.189561
0.067123 0.188230
0.069863 0.186993
0.072603 0.185696
0.075342 0.184276
0.078082 0.182881
0.080822 0.181415
0.083562 0.179830
0.086301 0.178241
0.089041 0.176589
0.091781 0.174830
0.094521 0.173050
0.097260 0.171223
0.100000 0.169300
0.102740 0.167362
0.105479 0.165376
0.108219 0.163353
0.110959 0.161256
0.113699 0.159236
0.116438 0.157068
0.119178 0.155020
0.121918 0.152862
0.124658 0.150842
0.127397 0.148678
0.130137 0.146746
0.132877 0.144667
0.135616 0.142783
0.138356 0.140862
0.141096 0.139108
0.143836 0.137306
0.146575 0.135741
0.149315 0.134140
0.152055 0.132714
0.154795 0.131357
0.157534 0.130147
0.160274 0.128962
0.163014 0.128002
0.165753 0.127054
0.168493 0.126258
0.171233 0.125566
0.173973 0.124998
0.176712 0.124467
0.179452 0.124143
0.182192 0.123843
0.184932 0.123674
0.187671 0.123630
0.190411 0.123703
0.193151 0.123841
0.195890 0.124194
0.198630 0.124619
0.201370 0.125189
0.204110 0.125941
0.206849 0.126831
0.209589 0.127832
0.212329 0.129050
0.215068 0.130358
0.217808 0.131769
0.220548 0.133318
0.223288 0.134905
0.226027 0.136493
0.228767 0.138128
0.231507 0.139692
0.234247 0.141165
0.236986 0.142586
0.239726 0.143869
0.242466 0.145010
0.245205 0.146070
0.247945 0.146999
0.250685 0.147819
0.253425 0.148607
0.256164 0.149345
0.258904 0.150061
0.261644 0.150835
0.264384 0.151649
0.267123 0.152522
0.269863 0.153502
0.272603 0.154561
0.275342 0.155684
0.278082 0.156893
0.280822 0.158133
0.283562 0.159380
0.286301 0.160625
0.289041 0.161826
0.291781 0.162942
0.294521 0.163979
0.297260 0.164887
0.300000 0.165652
0.302740 0.166255
0.305479 0.166682
0.308219 0.166887
0.310959 0.166923
0.313699 0.166763
0.316438 0.166593
0.319178 0.166470
0.321918 0.166794
0.324658 0.167522
0.327397 0.169104
0.330137 0.171063
0.332877 0.173678
0.335616 0.175989
0.338356 0.178321
0.341096 0.179628
0.343836 0.180629
0.346575 0.180527
0.349315 0.180330
0.352055 0.179433
0.354795 0.178743
0.357534 0.177717
0.360274 0.176988
0.363014 0.176076
0.365753 0.175467
0.368493 0.174680
0.371233 0.174256
0.373973 0.173580
0.376712 0.173370
0.379452 0.172806
0.382192 0.172791
0.384932 0.172342
0.387671 0.172456
0.390411 0.172091
0.393151 0.172256
0.395890 0.171896
0.398630 0.172025
0.401370 0.171579
0.404110 0.171576
0.406849 0.170961
0.409589 0.170749
0.412329 0.169888
0.415068 0.169416
0.417808 0.168259
0.420548 0.167487
0.423288 0.166004
0.426027 0.164903
0.428767 0.163049
0.431507 0.161580
0.434247 0.159299
0.436986 0.157385
0.439726 0.154597
0.442466 0.152141
0.445205 0.148725
0.447945 0.145611
0.450685 0.141448
0.453425 0.137548
0.456164 0.132534
0.458904 0.127755
0.461644 0.121811
0.464384 0.116113
0.467123 0.109230
0.469863 0.102624
0.472603 0.094866
0.475342 0.087446
0.478082 0.078935
0.480822 0.070867
0.483562 0.061799
0.486301 0.053293
0.489041 0.043914
0.491781 0.035228
0.494521 0.025796
0.497260 0.017206
0.500000 0.007992
0.502740 -0.000247
0.505479 -0.008997
0.508219 -0.016656
0.510959 -0.024748
0.513699 -0.031650
0.516438 -0.038945
0.519178 -0.044986
0.521918 -0.051408
0.524658 -0.056537
0.527397 -0.062079
0.530137 -0.066305
0.532877 -0.071010
0.535616 -0.074404
0.538356 -0.078366
0.541096 -0.081051
0.543836 -0.084421
0.546575 -0.086564
0.549315 -0.089514
0.552055 -0.091311
0.554795 -0.094002
0.557534 -0.095620
0.560274 -0.098179
0.563014 -0.099729
0.565753 -0.102205
0.568493 -0.103736
0.571233 -0.106125
0.573973 -0.107632
0.576712 -0.109909
0.579452 -0.111368
0.582192 -0.113508
0.584932 -0.114907
0.587671 -0.116903
0.590411 -0.118223
0.593151 -0.120080
0.595890 -0.121299
0.598630 -0.122993
0.601370 -0.124069
0.604110 -0.125541
0.606849 -0.126394
0.609589 -0.127558
0.612329 -0.128092
0.615068 -0.128842
0.617808 -0.128971
0.620548 -0.129242
0.623288 -0.128908
0.626027 -0.128711
0.628767 -0.127942
0.631507 -0.127357
0.634247 -0.126269
0.636986 -0.125460
0.639726 -0.124211
0.642466 -0.123367
0.645205 -0.122144
0.647945 -0.121413
0.650685 -0.120373
0.653425 -0.119873
0.656164 -0.119096
0.658904 -0.118893
0.661644 -0.118424
0.664384 -0.118509
0.667123 -0.118359
0.669863 -0.118726
0.672603 -0.118854
0.675342 -0.119498
0.678082 -0.119888
0.680822 -0.120758
0.683562 -0.121399
0.686301 -0.122480
0.689041 -0.123306
0.691781 -0.124577
0.694521 -0.125552
0.697260 -0.126926
0.700000 -0.128010
0.702740 -0.129438
0.705479 -0.130530
0.708219 -0.131969
0.710959 -0.133024
0.713699 -0.134377
0.716438 -0.135370
0.719178 -0.136614
0.721918 -0.137475
0.724658 -0.138615
0.727397 -0.139355
0.730137 -0.140349
0.732877 -0.141004
0.735616 -0.141884
0.738356 -0.142430
0.741096 -0.143248
0.743836 -0.143725
0.746575 -0.144457
0.749315 -0.144914
0.752055 -0.145596
0.754795 -0.145998
0.757534 -0.146671
0.760274 -0.147040
0.763014 -0.147663
0.765753 -0.148031
0.768493 -0.148616
0.771233 -0.148933
0.773973 -0.149513
0.776712 -0.149785
0.779452 -0.150315
0.782192 -0.150570
0.784932 -0.151067
0.787671 -0.151257
0.790411 -0.151756
0.793151 -0.151907
0.795890 -0.152357
0.798630 -0.152523
0.801370 -0.152951
0.804110 -0.153086
0.806849 -0.153563
0.809589 -0.153674
0.812329 -0.154197
0.815068 -0.154305
0.817808 -0.154947
0.820548 -0.154987
0.823288 -0.155816
0.826027 -0.155848
0.828767 -0.156780
0.831507 -0.156922
0.834247 -0.157945
0.836986 -0.158207
0.839726 -0.159334
0.842466 -0.159813
0.845205 -0.160956
0.847945 -0.161738
0.850685 -0.162944
0.853425 -0.163950
0.856164 -0.165296
0.858904 -0.166524
0.861644 -0.167929
0.864384 -0.169357
0.867123 -0.170809
0.869863 -0.172237
0.872603 -0.173692
0.875342 -0.175047
0.878082 -0.176339
0.880822 -0.177632
0.883562 -0.178866
0.886301 -0.180139
0.889041 -0.181586
0.891781 -0.183189
0.894521 -0.185036
0.897260 -0.187234
0.900000 -0.189663
0.902740 -0.192288
0.905479 -0.195109
0.908219 -0.197902
0.910959 -0.200558
0.913699 -0.203079
0.916438 -0.205250
0.919178 -0.206996
0.921918 -0.208418
0.924658 -0.209384
0.927397 -0.209927
0.930137 -0.210309
0.932877 -0.210491
0.935616 -0.210565
0.938356 -0.210824
0.941096 -0.211160
0.943836 -0.211585
0.946575 -0.212389
0.949315 -0.213519
0.952055 -0.215182
0.954795 -0.218131
0.957534 -0.222970
0.960274 -0.230700
0.963014 -0.243145
0.965753 -0.261754
0.968493 -0.287451
0.971233 -0.320977
0.973973 -0.360252
0.976712 -0.399442
0.979452 -0.431489
0.982192 -0.446103
0.984932 -0.431900
0.987671 -0.384115
0.990411 -0.302649
0.993151 -0.195505
0.995890 -0.081219
0.998630 -0.000124
