Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
1001,0.264498,1,0.0840014,357,437,0.0430247,365,433,1,0,437,0.00705936,357,437,
2001,0.528731,2.74189,0.0515208,364,436,0.068481,365,435,138.077,574,1,0.00326532,44,436,
3001,0.792965,2.15438,0.0208065,94,435,0.0368057,369,426,705.718,77,289,0.00183732,91,436,
4001,1.0572,0.828908,0.0143538,368,431,0.0328735,367,432,147.291,145,154,0.00171568,367,429,
5001,1.32143,0.290301,0.0153465,376,401,0.028907,382,395,14.424,386,392,0.00135787,382,396,
6001,1.58567,0.321832,0.0207443,386,380,0.0329337,386,377,34.4321,342,430,0.00196957,386,379,
7001,1.8499,0.407446,0.0369184,390,372,0.039758,390,378,58.3463,395,366,0.00204203,389,381,
8001,2.11413,0.301534,0.0320243,386,366,0.0510928,394,360,32.5679,373,368,0.00261373,170,435,
9001,2.37837,0.31883,0.0315365,208,435,0.048255,374,352,22.872,368,432,0.00391058,208,435,
10001,2.6426,0.543114,0.0562325,402,342,0.0426865,406,345,114.624,97,248,0.0054976,250,435,
11001,2.90683,0.514269,0.0513451,406,326,0.0560753,410,333,94.7845,407,352,0.00488162,293,435,
12001,3.17107,0.765605,0.0400513,349,434,0.058589,409,320,195.354,404,358,0.00443283,294,435,
13001,3.4353,0.755393,0.0437814,410,327,0.0559136,406,306,219.697,413,340,0.0043138,245,435,
14001,3.69953,0.44623,0.0412782,409,310,0.0482611,367,432,72.5301,369,430,0.00469649,265,435,
15001,3.96377,0.544819,0.0356782,418,308,0.0500112,399,296,92.8914,386,363,0.00472311,285,435,
16001,4.228,0.789269,0.0479587,396,364,0.0508167,367,432,234.264,247,430,0.00476257,305,435,
17001,4.49223,0.949367,0.0422728,427,282,0.0536605,367,432,307.392,398,370,0.00457601,349,435,
18001,4.75647,0.757779,0.0523148,430,263,0.0524796,390,368,181.996,415,336,0.0041455,350,435,
19001,5.0207,0.472109,0.0557819,391,370,0.0564475,397,367,39.7356,480,205,0.00390388,382,387,
20001,5.28493,0.510903,0.0686279,420,305,0.0515373,398,366,59.5962,381,318,0.00314406,386,372,
21001,5.54917,0.563859,0.0495399,399,327,0.0518103,402,345,57.8081,377,338,0.0030001,400,347,
22001,5.8134,0.710627,0.0463052,398,310,0.0484191,395,239,138.243,401,212,0.00245862,393,365,
23001,6.07764,0.519535,0.0479559,441,246,0.0457633,404,305,59.6884,420,323,0.00292448,403,304,
24001,6.34187,0.478785,0.0454031,387,312,0.0470046,418,296,41.1908,360,226,0.00285236,388,370,
25001,6.6061,1.6002,0.0458084,390,304,0.0434298,403,346,600.872,365,419,0.0029908,416,315,
26001,6.87034,0.765288,0.0446577,402,324,0.0477152,386,264,162.368,419,328,0.0033403,314,435,
27001,7.13457,1.74167,0.0509964,401,324,0.0573511,367,432,490.369,441,284,0.00353105,337,435,
28001,7.3988,1.22539,0.049321,413,287,0.0551907,397,361,306.109,286,281,0.00392829,312,435,
29001,7.66304,0.625704,0.0549163,403,327,0.0582281,367,432,93.1489,413,303,0.00329017,337,435,
30001,7.92727,0.749618,0.0503642,397,357,0.0552807,367,432,158.583,518,130,0.00269139,366,434,
31001,8.1915,0.832278,0.0408012,412,291,0.0507347,367,432,233.148,480,206,0.00376943,425,283,
32001,8.45574,0.768709,0.0532198,391,370,0.0418986,390,367,119.07,392,344,0.00338423,390,367,
