title="d2z6      Re=86000     iterations=170001 "
 zone t="d2z6"variables=u/U,Y
-0.000004 0.000000
-0.008770 0.002283
-0.025893 0.004566
-0.043542 0.006849
-0.058829 0.009132
-0.074375 0.011416
-0.086162 0.013699
-0.099559 0.015982
-0.108612 0.018265
-0.120460 0.020548
-0.127603 0.022831
-0.138051 0.025114
-0.143125 0.027397
-0.151118 0.029680
-0.153605 0.031963
-0.157847 0.034247
-0.157726 0.036530
-0.158284 0.038813
-0.156358 0.041096
-0.154579 0.043379
-0.152034 0.045662
-0.149670 0.047945
-0.147477 0.050228
-0.145713 0.052511
-0.144346 0.054795
-0.143175 0.057078
-0.142341 0.059361
-0.140595 0.061644
-0.139353 0.063927
-0.135866 0.066210
-0.134143 0.068493
-0.130075 0.070776
-0.129732 0.073059
-0.127026 0.075342
-0.128676 0.077626
-0.126618 0.079909
-0.130185 0.082192
-0.129928 0.084475
-0.136131 0.086758
-0.138932 0.089041
-0.147565 0.091324
-0.153782 0.093607
-0.163872 0.095890
-0.173544 0.098174
-0.182964 0.100457
-0.193989 0.102740
-0.200565 0.105023
-0.210625 0.107306
-0.213192 0.109589
-0.220479 0.111872
-0.219569 0.114155
-0.223841 0.116438
-0.220991 0.118721
-0.223098 0.121005
-0.219492 0.123288
-0.220327 0.125571
-0.216358 0.127854
-0.216463 0.130137
-0.212378 0.132420
-0.212061 0.134703
-0.208237 0.136986
-0.207785 0.139269
-0.204527 0.141553
-0.204194 0.143836
-0.201611 0.146119
-0.201528 0.148402
-0.199496 0.150685
-0.199773 0.152968
-0.198113 0.155251
-0.198558 0.157534
-0.197119 0.159817
-0.197721 0.162100
-0.196394 0.164384
-0.197195 0.166667
-0.195950 0.168950
-0.196751 0.171233
-0.195580 0.173516
-0.196809 0.175799
-0.195727 0.178082
-0.196991 0.180365
-0.196065 0.182648
-0.197654 0.184932
-0.196710 0.187215
-0.198706 0.189498
-0.197536 0.191781
-0.200295 0.194064
-0.199080 0.196347
-0.200900 0.198630
-0.200137 0.200913
-0.199475 0.203196
-0.197067 0.205479
-0.202590 0.207763
-0.200192 0.210046
-0.196472 0.212329
-0.194082 0.214612
-0.197829 0.216895
-0.194421 0.219178
-0.191691 0.221461
-0.188326 0.223744
-0.190106 0.226027
-0.186305 0.228311
-0.183496 0.230594
-0.179516 0.232877
-0.180440 0.235160
-0.175918 0.237443
-0.171886 0.239726
-0.166614 0.242009
-0.164983 0.244292
-0.158778 0.246575
-0.151610 0.248858
-0.144642 0.251142
-0.140112 0.253425
-0.132632 0.255708
-0.123399 0.257991
-0.115606 0.260274
-0.109760 0.262557
-0.101733 0.264840
-0.091660 0.267123
-0.083718 0.269406
-0.077024 0.271689
-0.069118 0.273973
-0.059109 0.276256
-0.051991 0.278539
-0.044399 0.280822
-0.037781 0.283105
-0.028908 0.285388
-0.023591 0.287671
-0.015992 0.289954
-0.011904 0.292237
-0.004627 0.294521
-0.001701 0.296804
0.004754 0.299087
0.006352 0.301370
0.011812 0.303653
0.011820 0.305936
0.016117 0.308219
0.015113 0.310502
0.018798 0.312785
0.017575 0.315068
0.020614 0.317352
0.019453 0.319635
0.022222 0.321918
0.021067 0.324201
0.023431 0.326484
0.023166 0.328767
0.025734 0.331050
0.026664 0.333333
0.029151 0.335616
0.030265 0.337900
0.032491 0.340183
0.032917 0.342466
0.034696 0.344749
0.034430 0.347032
0.035883 0.349315
0.035220 0.351598
0.036374 0.353881
0.035554 0.356164
0.036517 0.358447
0.035608 0.360731
0.036228 0.363014
0.035177 0.365297
0.035503 0.367580
0.034303 0.369863
0.034108 0.372146
0.032700 0.374429
0.032220 0.376712
0.030615 0.378995
0.029807 0.381279
0.028104 0.383562
0.027290 0.385845
0.025501 0.388128
0.024629 0.390411
0.022911 0.392694
0.022334 0.394977
0.020892 0.397260
0.020255 0.399543
0.018041 0.401826
0.015347 0.404110
0.011804 0.406393
0.008892 0.408676
0.006475 0.410959
0.006326 0.413242
0.005884 0.415525
0.007338 0.417808
0.007441 0.420091
0.008902 0.422374
0.008657 0.424658
0.008956 0.426941
0.008263 0.429224
0.009109 0.431507
0.008509 0.433790
0.008709 0.436073
0.008578 0.438356
0.009773 0.440639
0.009831 0.442922
0.011065 0.445205
0.011353 0.447489
0.012766 0.449772
0.013172 0.452055
0.014679 0.454338
0.015285 0.456621
0.017074 0.458904
0.018216 0.461187
0.019661 0.463470
0.021150 0.465753
0.022838 0.468037
0.023950 0.470320
0.025233 0.472603
0.025824 0.474886
0.027106 0.477169
0.026988 0.479452
0.028199 0.481735
0.027705 0.484018
0.029201 0.486301
0.028619 0.488584
0.029959 0.490868
0.029637 0.493151
0.031232 0.495434
0.031295 0.497717
0.032775 0.500000
0.033442 0.502283
0.034907 0.504566
0.036225 0.506849
0.037464 0.509132
0.039334 0.511416
0.040591 0.513699
0.042877 0.515982
0.043755 0.518265
0.046275 0.520548
0.047114 0.522831
0.049604 0.525114
0.050293 0.527397
0.052736 0.529680
0.053329 0.531963
0.055679 0.534247
0.056133 0.536530
0.058358 0.538813
0.058962 0.541096
0.061119 0.543379
0.061498 0.545662
0.063597 0.547945
0.064141 0.550228
0.066160 0.552511
0.066697 0.554795
0.068757 0.557078
0.069396 0.559361
0.071550 0.561644
0.072194 0.563927
0.074491 0.566210
0.075404 0.568493
0.077889 0.570776
0.078801 0.573059
0.081427 0.575342
0.082516 0.577626
0.085112 0.579909
0.086432 0.582192
0.088854 0.584475
0.090218 0.586758
0.092316 0.589041
0.093822 0.591324
0.095654 0.593607
0.097371 0.595890
0.099303 0.598174
0.101084 0.600457
0.103379 0.602740
0.105344 0.605023
0.108297 0.607306
0.110538 0.609589
0.114470 0.611872
0.116885 0.614155
0.121815 0.616438
0.124436 0.618721
0.129859 0.621005
0.132576 0.623288
0.137986 0.625571
0.140568 0.627854
0.145686 0.630137
0.148207 0.632420
0.153197 0.634703
0.155715 0.636986
0.160690 0.639269
0.163134 0.641553
0.168108 0.643836
0.170510 0.646119
0.175334 0.648402
0.177693 0.650685
0.182262 0.652968
0.184321 0.655251
0.188570 0.657534
0.190550 0.659817
0.194884 0.662100
0.196725 0.664384
0.201799 0.666667
0.203973 0.668950
0.209268 0.671233
0.210441 0.673516
0.213294 0.675799
0.213800 0.678082
0.213444 0.680365
0.212206 0.682648
0.211028 0.684932
0.210532 0.687215
0.210313 0.689498
0.208611 0.691781
0.208805 0.694064
0.207236 0.696347
0.206795 0.698630
0.203931 0.700913
0.202655 0.703196
0.199409 0.705479
0.197256 0.707763
0.193364 0.710046
0.190592 0.712329
0.186174 0.714612
0.182637 0.716895
0.177567 0.719178
0.172695 0.721461
0.166742 0.723744
0.160097 0.726027
0.153224 0.728311
0.145006 0.730594
0.137834 0.732877
0.128932 0.735160
0.120683 0.737443
0.111041 0.739726
0.103806 0.742009
0.094062 0.744292
0.084677 0.746575
0.074494 0.748858
0.067489 0.751142
0.056995 0.753425
0.047977 0.755708
0.037556 0.757991
0.030715 0.760274
0.020484 0.762557
0.012697 0.764840
0.002709 0.767123
-0.002917 0.769406
-0.012290 0.771689
-0.018303 0.773973
-0.026833 0.776256
-0.030838 0.778539
-0.038512 0.780822
-0.041913 0.783105
-0.048390 0.785388
-0.049574 0.787671
-0.054601 0.789954
-0.055034 0.792237
-0.058767 0.794521
-0.056889 0.796804
-0.058405 0.799087
-0.054520 0.801370
-0.052043 0.803653
-0.044330 0.805936
-0.040873 0.808219
-0.036397 0.810502
-0.036044 0.812785
-0.030550 0.815068
-0.026842 0.817352
-0.021580 0.819635
-0.020081 0.821918
-0.017168 0.824201
-0.017227 0.826484
-0.015012 0.828767
-0.014890 0.831050
-0.012334 0.833333
-0.011830 0.835616
-0.009174 0.837900
-0.008397 0.840183
-0.005247 0.842466
-0.004505 0.844749
-0.001569 0.847032
-0.001321 0.849315
0.001375 0.851598
0.001066 0.853881
0.003550 0.856164
0.003035 0.858447
0.005448 0.860731
0.004940 0.863014
0.007549 0.865297
0.007381 0.867580
0.010466 0.869863
0.010932 0.872146
0.014353 0.874429
0.015407 0.876712
0.019204 0.878995
0.021002 0.881279
0.024978 0.883562
0.027461 0.885845
0.031361 0.888128
0.034359 0.890411
0.038393 0.892694
0.043183 0.894977
0.048051 0.897260
0.054397 0.899543
0.059025 0.901826
0.064964 0.904110
0.069159 0.906393
0.074176 0.908676
0.077722 0.910959
0.081704 0.913242
0.084309 0.915525
0.086470 0.917808
0.087228 0.920091
0.086946 0.922374
0.085851 0.924658
0.083758 0.926941
0.081815 0.929224
0.079661 0.931507
0.078625 0.933790
0.077498 0.936073
0.077443 0.938356
0.077096 0.940639
0.077350 0.942922
0.076995 0.945205
0.077352 0.947489
0.077021 0.949772
0.077494 0.952055
0.077597 0.954338
0.078906 0.956621
0.080507 0.958904
0.083462 0.961187
0.086584 0.963470
0.090643 0.965753
0.094723 0.968037
0.099755 0.970320
0.105054 0.972603
0.111565 0.974886
0.117699 0.977169
0.125150 0.979452
0.131408 0.981735
0.141424 0.984018
0.157018 0.986301
0.190086 0.988584
0.265264 0.990868
0.473074 0.993151
0.812946 0.995434
