Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
1001,0.264498,1,0.0837885,2,437,0.0417213,364,435,1,0,437,0.00702155,364,437,
2001,0.528731,2.74822,0.0398055,364,436,0.0503825,365,435,47.1132,390,378,0.00323618,42,436,
3001,0.792965,1.2548,0.0216058,359,435,0.0317047,371,423,343.432,75,293,0.00186121,91,436,
4001,1.0572,0.774143,0.0140137,362,435,0.032179,379,406,169.005,123,197,0.00173845,367,429,
5001,1.32143,0.443431,0.0121235,375,400,0.0268138,383,394,131.935,213,19,0.00133349,373,416,
6001,1.58567,0.307471,0.0192447,387,379,0.0376422,387,377,36.8235,344,426,0.00213456,387,377,
7001,1.8499,0.315069,0.0300472,387,365,0.0404149,391,376,45.4202,172,426,0.00233025,387,365,
8001,2.11413,0.564337,0.0421504,394,357,0.0501554,395,363,187.863,398,368,0.00270679,170,435,
9001,2.37837,0.399357,0.0357569,389,340,0.0467082,398,354,65.0119,413,339,0.00415173,208,435,
10001,2.6426,0.473855,0.0438893,228,435,0.0485077,367,432,91.7722,401,364,0.00589072,250,435,
11001,2.90683,0.44238,0.0388894,404,344,0.0453563,397,366,56.3645,179,427,0.00496701,293,435,
12001,3.17107,0.435671,0.0438618,349,434,0.0588735,407,341,41.3453,404,358,0.00518443,325,435,
13001,3.4353,0.457515,0.0449784,408,315,0.064233,390,384,35.5751,383,342,0.0057696,377,404,
14001,3.69953,0.687966,0.0375351,389,356,0.0479725,389,385,156.655,379,362,0.00473854,264,435,
15001,3.96377,0.454593,0.0449346,397,357,0.0674915,392,372,52.5215,342,329,0.0049549,284,435,
16001,4.228,0.618978,0.0430637,399,330,0.0514048,406,342,134.494,412,285,0.0049617,304,435,
17001,4.49223,0.520179,0.0460139,367,432,0.0464147,403,344,109.797,348,318,0.00511756,349,435,
18001,4.75647,0.442121,0.0526267,404,344,0.0410745,410,314,42.5656,360,375,0.00437687,350,435,
19001,5.0207,0.424392,0.0541768,411,289,0.0452787,366,434,36.1013,453,260,0.00400411,346,435,
20001,5.28493,0.670057,0.0518005,401,345,0.0517827,403,349,79.3447,380,372,0.00345321,409,325,
21001,5.54917,0.969537,0.0498908,419,255,0.0485472,367,432,280.09,443,269,0.00407974,409,325,
22001,5.8134,0.785333,0.0465742,393,365,0.053043,394,372,190.461,414,338,0.00355472,385,378,
23001,6.07764,1.08036,0.0540235,400,350,0.047589,401,355,361.619,447,215,0.00461176,316,435,
24001,6.34187,1.04492,0.0521987,402,330,0.0466777,367,433,292.232,449,268,0.00362421,296,435,
