title="d2z6      Re=90000     iterations=500001 "
 zone t="d2z6"variables=u/U,Y
0.000011 0.000000
-0.026866 0.002283
-0.079689 0.004566
-0.134473 0.006849
-0.178952 0.009132
-0.218169 0.011416
-0.240569 0.013699
-0.255069 0.015982
-0.257423 0.018265
-0.256348 0.020548
-0.253367 0.022831
-0.251438 0.025114
-0.249694 0.027397
-0.247000 0.029680
-0.244417 0.031963
-0.240083 0.034247
-0.237724 0.036530
-0.234736 0.038813
-0.233123 0.041096
-0.230512 0.043379
-0.228491 0.045662
-0.225318 0.047945
-0.222776 0.050228
-0.219252 0.052511
-0.216384 0.054795
-0.212663 0.057078
-0.209600 0.059361
-0.205929 0.061644
-0.202814 0.063927
-0.199257 0.066210
-0.196322 0.068493
-0.193152 0.070776
-0.190541 0.073059
-0.187931 0.075342
-0.185754 0.077626
-0.183610 0.079909
-0.181940 0.082192
-0.180206 0.084475
-0.179048 0.086758
-0.177406 0.089041
-0.176535 0.091324
-0.175695 0.093607
-0.175267 0.095890
-0.173788 0.098174
-0.173547 0.100457
-0.173895 0.102740
-0.173925 0.105023
-0.173668 0.107306
-0.174066 0.109589
-0.175497 0.111872
-0.175918 0.114155
-0.176845 0.116438
-0.177515 0.118721
-0.178394 0.121005
-0.178627 0.123288
-0.179178 0.125571
-0.179510 0.127854
-0.179502 0.130137
-0.178753 0.132420
-0.180316 0.134703
-0.181390 0.136986
-0.177690 0.139269
-0.177178 0.141553
-0.180559 0.143836
-0.181181 0.146119
-0.178240 0.148402
-0.177800 0.150685
-0.178300 0.152968
-0.179081 0.155251
-0.178018 0.157534
-0.177429 0.159817
-0.177508 0.162100
-0.179119 0.164384
-0.179388 0.166667
-0.179282 0.168950
-0.178798 0.171233
-0.179710 0.173516
-0.178958 0.175799
-0.178240 0.178082
-0.176357 0.180365
-0.176558 0.182648
-0.175749 0.184932
-0.175862 0.187215
-0.174723 0.189498
-0.174794 0.191781
-0.175639 0.194064
-0.175754 0.196347
-0.173697 0.198630
-0.173607 0.200913
-0.171123 0.203196
-0.169437 0.205479
-0.164340 0.207763
-0.161483 0.210046
-0.161262 0.212329
-0.159066 0.214612
-0.150963 0.216895
-0.149875 0.219178
-0.152108 0.221461
-0.150829 0.223744
-0.146277 0.226027
-0.148179 0.228311
-0.148887 0.230594
-0.149386 0.232877
-0.152093 0.235160
-0.154943 0.237443
-0.152063 0.239726
-0.153641 0.242009
-0.157283 0.244292
-0.159152 0.246575
-0.157324 0.248858
-0.159129 0.251142
-0.160507 0.253425
-0.162265 0.255708
-0.162055 0.257991
-0.163844 0.260274
-0.163903 0.262557
-0.165239 0.264840
-0.165232 0.267123
-0.166438 0.269406
-0.166388 0.271689
-0.167307 0.273973
-0.167544 0.276256
-0.168418 0.278539
-0.168096 0.280822
-0.169004 0.283105
-0.168859 0.285388
-0.168601 0.287671
-0.171995 0.289954
-0.173202 0.292237
-0.168861 0.294521
-0.168900 0.296804
-0.175501 0.299087
-0.176090 0.301370
-0.171066 0.303653
-0.171700 0.305936
-0.176807 0.308219
-0.177304 0.310502
-0.174090 0.312785
-0.174538 0.315068
-0.178085 0.317352
-0.178810 0.319635
-0.175850 0.321918
-0.176194 0.324201
-0.178987 0.326484
-0.179460 0.328767
-0.177263 0.331050
-0.177449 0.333333
-0.179293 0.335616
-0.179710 0.337900
-0.177934 0.340183
-0.178169 0.342466
-0.179551 0.344749
-0.179882 0.347032
-0.178618 0.349315
-0.178946 0.351598
-0.179813 0.353881
-0.180306 0.356164
-0.179517 0.358447
-0.179810 0.360731
-0.180714 0.363014
-0.181367 0.365297
-0.180841 0.367580
-0.181295 0.369863
-0.181662 0.372146
-0.182707 0.374429
-0.182516 0.376712
-0.182847 0.378995
-0.182750 0.381279
-0.184113 0.383562
-0.183885 0.385845
-0.183881 0.388128
-0.183567 0.390411
-0.184953 0.392694
-0.184343 0.394977
-0.184046 0.397260
-0.183382 0.399543
-0.184646 0.401826
-0.183710 0.404110
-0.183225 0.406393
-0.182282 0.408676
-0.183163 0.410959
-0.181971 0.413242
-0.181769 0.415525
-0.180525 0.417808
-0.180854 0.420091
-0.179632 0.422374
-0.179316 0.424658
-0.177555 0.426941
-0.178387 0.429224
-0.177863 0.431507
-0.178190 0.433790
-0.176404 0.436073
-0.179617 0.438356
-0.180948 0.440639
-0.181940 0.442922
-0.180706 0.445205
-0.185292 0.447489
-0.184477 0.449772
-0.180010 0.452055
-0.174222 0.454338
-0.172758 0.456621
-0.168754 0.458904
-0.163235 0.461187
-0.160233 0.463470
-0.164104 0.465753
-0.161076 0.468037
-0.154350 0.470320
-0.150590 0.472603
-0.152418 0.474886
-0.147469 0.477169
-0.140646 0.479452
-0.137679 0.481735
-0.138011 0.484018
-0.132524 0.486301
-0.128889 0.488584
-0.124571 0.490868
-0.118389 0.493151
-0.110889 0.495434
-0.103573 0.497717
-0.097466 0.500000
-0.094250 0.502283
-0.089608 0.504566
-0.084002 0.506849
-0.079961 0.509132
-0.077524 0.511416
-0.072996 0.513699
-0.067666 0.515982
-0.063334 0.518265
-0.059664 0.520548
-0.053951 0.522831
-0.047617 0.525114
-0.042994 0.527397
-0.039233 0.529680
-0.033375 0.531963
-0.028484 0.534247
-0.024532 0.536530
-0.021664 0.538813
-0.015928 0.541096
-0.012135 0.543379
-0.008759 0.545662
-0.006891 0.547945
-0.001163 0.550228
0.001640 0.552511
0.004338 0.554795
0.005181 0.557078
0.010645 0.559361
0.012613 0.561644
0.013700 0.563927
0.013547 0.566210
0.019561 0.568493
0.020546 0.570776
0.020375 0.573059
0.019889 0.575342
0.025301 0.577626
0.026100 0.579909
0.025302 0.582192
0.024874 0.584475
0.030051 0.586758
0.031347 0.589041
0.030345 0.591324
0.030925 0.593607
0.035710 0.595890
0.038010 0.598174
0.038136 0.600457
0.040220 0.602740
0.044305 0.605023
0.048484 0.607306
0.050307 0.609589
0.053540 0.611872
0.057529 0.614155
0.063454 0.616438
0.066353 0.618721
0.070457 0.621005
0.075525 0.623288
0.082013 0.625571
0.085480 0.627854
0.090695 0.630137
0.096524 0.632420
0.103166 0.634703
0.107600 0.636986
0.112954 0.639269
0.119187 0.641553
0.126193 0.643836
0.130999 0.646119
0.136362 0.648402
0.142996 0.650685
0.150121 0.652968
0.154859 0.655251
0.160500 0.657534
0.167078 0.659817
0.174030 0.662100
0.178664 0.664384
0.184438 0.666667
0.190598 0.668950
0.197764 0.671233
0.201833 0.673516
0.207584 0.675799
0.213366 0.678082
0.220371 0.680365
0.223637 0.682648
0.229658 0.684932
0.234677 0.687215
0.241439 0.689498
0.243862 0.691781
0.249643 0.694064
0.254819 0.696347
0.261359 0.698630
0.261605 0.700913
0.267175 0.703196
0.273854 0.705479
0.280075 0.707763
0.277756 0.710046
0.283455 0.712329
0.290222 0.714612
0.295907 0.716895
0.292940 0.719178
0.298606 0.721461
0.303050 0.723744
0.307921 0.726027
0.305408 0.728311
0.310755 0.730594
0.311596 0.732877
0.315450 0.735160
0.314897 0.737443
0.319209 0.739726
0.317489 0.742009
0.320864 0.744292
0.323420 0.746575
0.326734 0.748858
0.324276 0.751142
0.327377 0.753425
0.332519 0.755708
0.335803 0.757991
0.333436 0.760274
0.337295 0.762557
0.343883 0.764840
0.348499 0.767123
0.346365 0.769406
0.352190 0.771689
0.358275 0.773973
0.363066 0.776256
0.359827 0.778539
0.364305 0.780822
0.367933 0.783105
0.369863 0.785388
0.366588 0.787671
0.368470 0.789954
0.371511 0.792237
0.372189 0.794521
0.369606 0.796804
0.371200 0.799087
0.371046 0.801370
0.371929 0.803653
0.366908 0.805936
0.368824 0.808219
0.366620 0.810502
0.366673 0.812785
0.364257 0.815068
0.365093 0.817352
0.363864 0.819635
0.365091 0.821918
0.360914 0.824201
0.361417 0.826484
0.357200 0.828767
0.352583 0.831050
0.345966 0.833333
0.341633 0.835616
0.335877 0.837900
0.329325 0.840183
0.322312 0.842466
0.318416 0.844749
0.312216 0.847032
0.307203 0.849315
0.301066 0.851598
0.298056 0.853881
0.291737 0.856164
0.287477 0.858447
