title="d2z6      Re=90000     iterations=500001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 -0.001131
0.006849 -0.005945
0.009589 0.004137
0.012329 0.011987
0.015068 0.014953
0.017808 0.012408
0.020548 0.011640
0.023288 0.012512
0.026027 0.016475
0.028767 0.022078
0.031507 0.028521
0.034247 0.032177
0.036986 0.037998
0.039726 0.043664
0.042466 0.050772
0.045205 0.058521
0.047945 0.067399
0.050685 0.073640
0.053425 0.083528
0.056164 0.093178
0.058904 0.107864
0.061644 0.123707
0.064384 0.141873
0.067123 0.158675
0.069863 0.175278
0.072603 0.195100
0.075342 0.212270
0.078082 0.235243
0.080822 0.253168
0.083562 0.276203
0.086301 0.293648
0.089041 0.315070
0.091781 0.332089
0.094521 0.351207
0.097260 0.368951
0.100000 0.386209
0.102740 0.403365
0.105479 0.419066
0.108219 0.435247
0.110959 0.448868
0.113699 0.461463
0.116438 0.469725
0.119178 0.477282
0.121918 0.483716
0.124658 0.488745
0.127397 0.491555
0.130137 0.492169
0.132877 0.490571
0.135616 0.487281
0.138356 0.482780
0.141096 0.476079
0.143836 0.468224
0.146575 0.459633
0.149315 0.450608
0.152055 0.441492
0.154795 0.432980
0.157534 0.424263
0.160274 0.415806
0.163014 0.407620
0.165753 0.399506
0.168493 0.391355
0.171233 0.383881
0.173973 0.376220
0.176712 0.368740
0.179452 0.361656
0.182192 0.354405
0.184932 0.347407
0.187671 0.341254
0.190411 0.335536
0.193151 0.331069
0.195890 0.328098
0.198630 0.326351
0.201370 0.325719
0.204110 0.326513
0.206849 0.327453
0.209589 0.328446
0.212329 0.328855
0.215068 0.327516
0.217808 0.323313
0.220548 0.316849
0.223288 0.307453
0.226027 0.296755
0.228767 0.286308
0.231507 0.277554
0.234247 0.270456
0.236986 0.266838
0.239726 0.264704
0.242466 0.265016
0.245205 0.266825
0.247945 0.268156
0.250685 0.267159
0.253425 0.265778
0.256164 0.260930
0.258904 0.253224
0.261644 0.243371
0.264384 0.233995
0.267123 0.223963
0.269863 0.215108
0.272603 0.205830
0.275342 0.197846
0.278082 0.190132
0.280822 0.184588
0.283562 0.182935
0.286301 0.183866
0.289041 0.188892
0.291781 0.190610
0.294521 0.192217
0.297260 0.190639
0.300000 0.188023
0.302740 0.187134
0.305479 0.184000
0.308219 0.183983
0.310959 0.180737
0.313699 0.179733
0.316438 0.176120
0.319178 0.172441
0.321918 0.172094
0.324658 0.168915
0.327397 0.172607
0.330137 0.171360
0.332877 0.173605
0.335616 0.175007
0.338356 0.173606
0.341096 0.175982
0.343836 0.172987
0.346575 0.172426
0.349315 0.168997
0.352055 0.166229
0.354795 0.162086
0.357534 0.161684
0.360274 0.157680
0.363014 0.159272
0.365753 0.156312
0.368493 0.156651
0.371233 0.152680
0.373973 0.151106
0.376712 0.144727
0.379452 0.142885
0.382192 0.135846
0.384932 0.134236
0.387671 0.127429
0.390411 0.126069
0.393151 0.119125
0.395890 0.118218
0.398630 0.111025
0.401370 0.110171
0.404110 0.102929
0.406849 0.101642
0.409589 0.094510
0.412329 0.092532
0.415068 0.084013
0.417808 0.077587
0.420548 0.062832
0.423288 0.049390
0.426027 0.031684
0.428767 0.017113
0.431507 0.000707
0.434247 -0.012682
0.436986 -0.026183
0.439726 -0.036690
0.442466 -0.046726
0.445205 -0.054027
0.447945 -0.061727
0.450685 -0.067143
0.453425 -0.073666
0.456164 -0.078332
0.458904 -0.084598
0.461644 -0.088355
0.464384 -0.094669
0.467123 -0.097872
0.469863 -0.103349
0.472603 -0.105988
0.475342 -0.110817
0.478082 -0.112196
0.480822 -0.116358
0.483562 -0.116889
0.486301 -0.119800
0.489041 -0.120016
0.491781 -0.122105
