title="d2z6      Re=35000     iterations=500001 "
 zone t="d2z6"variables=u/U,Y
-0.000407 0.000000
-0.070217 0.007092
-0.177667 0.014184
-0.235210 0.021277
-0.261923 0.028369
-0.268983 0.035461
-0.263635 0.042553
-0.253082 0.049645
-0.249642 0.056738
-0.239198 0.063830
-0.221788 0.070922
-0.220125 0.078014
-0.213842 0.085106
-0.207699 0.092199
-0.201430 0.099291
-0.193978 0.106383
-0.186258 0.113475
-0.180327 0.120567
-0.175486 0.127660
-0.171021 0.134752
-0.168144 0.141844
-0.163983 0.148936
-0.162328 0.156028
-0.158038 0.163121
-0.155862 0.170213
-0.151443 0.177305
-0.147348 0.184397
-0.142982 0.191489
-0.136396 0.198582
-0.132697 0.205674
-0.124814 0.212766
-0.121242 0.219858
-0.114135 0.226950
-0.107719 0.234043
-0.103229 0.241135
-0.096526 0.248227
-0.089924 0.255319
-0.078753 0.262411
-0.087645 0.269504
-0.081785 0.276596
-0.060188 0.283688
-0.051737 0.290780
-0.079580 0.297872
-0.062354 0.304965
-0.055262 0.312057
-0.065316 0.319149
-0.036996 0.326241
-0.026106 0.333333
-0.093520 0.340426
-0.093996 0.347518
-0.016645 0.354610
-0.009557 0.361702
-0.111374 0.368794
-0.114850 0.375887
0.004376 0.382979
0.007121 0.390071
-0.117856 0.397163
-0.109979 0.404255
0.021022 0.411348
0.016363 0.418440
-0.073960 0.425532
-0.056105 0.432624
0.027169 0.439716
0.027646 0.446809
-0.060768 0.453901
-0.068179 0.460993
0.036827 0.468085
0.036089 0.475177
-0.070980 0.482270
-0.064165 0.489362
0.039824 0.496454
0.040263 0.503546
-0.066194 0.510638
-0.069058 0.517730
0.043608 0.524823
0.044150 0.531915
-0.054167 0.539007
-0.055262 0.546099
0.047753 0.553191
0.048467 0.560284
-0.035211 0.567376
-0.032955 0.574468
0.052722 0.581560
0.051338 0.588652
-0.009710 0.595745
-0.004981 0.602837
0.054554 0.609929
0.047692 0.617021
0.031699 0.624113
0.042020 0.631206
0.055161 0.638298
0.051451 0.645390
0.060756 0.652482
0.059989 0.659574
0.066007 0.666667
0.065110 0.673759
0.072460 0.680851
0.072035 0.687943
0.076721 0.695035
0.076299 0.702128
0.079027 0.709220
0.079611 0.716312
0.078987 0.723404
0.080747 0.730496
0.081400 0.737589
0.086569 0.744681
0.085259 0.751773
0.092900 0.758865
0.095007 0.765957
0.100638 0.773050
0.105001 0.780142
0.108041 0.787234
0.113916 0.794326
0.116912 0.801418
0.121279 0.808511
0.125843 0.815603
0.129716 0.822695
0.139351 0.829787
0.141451 0.836879
0.156091 0.843972
0.157269 0.851064
0.173382 0.858156
0.177769 0.865248
0.194220 0.872340
0.198206 0.879433
0.213084 0.886525
0.216000 0.893617
0.229342 0.900709
0.232263 0.907801
0.242317 0.914894
0.244197 0.921986
0.249802 0.929078
0.248839 0.936170
0.256199 0.943262
0.259869 0.950355
0.264036 0.957447
0.281736 0.964539
0.260980 0.971631
0.309100 0.978723
0.686144 0.985816
