title="d2z6      Re=35000     iterations=500001 "
 zone t="d2z6"variables=X,v/U
0.004255 0.000000
0.012766 0.012816
0.021277 0.066848
0.029787 0.084408
0.038298 0.101174
0.046809 0.119527
0.055319 0.142830
0.063830 0.174010
0.072340 0.200237
0.080851 0.221760
0.089362 0.247339
0.097872 0.261572
0.106383 0.264740
0.114894 0.263097
0.123404 0.258338
0.131915 0.244658
0.140426 0.234861
0.148936 0.227238
0.157447 0.215967
0.165957 0.207452
0.174468 0.204993
0.182979 0.194000
0.191489 0.187411
0.200000 0.183838
0.208511 0.173205
0.217021 0.165453
0.225532 0.161338
0.234043 0.150697
0.242553 0.142477
0.251064 0.137973
0.259574 0.127474
0.268085 0.117608
0.276596 0.113462
0.285106 0.102728
0.293617 0.094303
0.302128 0.091492
0.310638 0.084230
0.319149 0.077912
0.327660 0.075985
0.336170 0.068624
0.344681 0.063908
0.353191 0.059875
0.361702 0.059139
0.370213 0.047860
0.378723 0.056433
0.387234 0.036999
0.395745 0.047115
0.404255 0.025213
0.412766 0.038905
0.421277 0.010304
0.429787 0.034272
0.438298 0.004644
0.446809 0.033451
0.455319 0.013838
0.463830 0.014257
0.472340 0.005825
0.480851 -0.024703
0.489362 0.028867
0.497872 -0.019198
0.506383 0.037727
0.514894 -0.026332
0.523404 0.031512
0.531915 -0.034840
0.540426 0.023667
0.548936 -0.050061
0.557447 0.016224
0.565957 -0.065553
0.574468 0.000649
0.582979 -0.067668
0.591489 -0.009904
0.600000 -0.063261
0.608511 -0.014130
0.617021 -0.017258
0.625532 -0.062500
0.634043 -0.043266
0.642553 -0.087283
0.651064 -0.055322
0.659574 -0.083691
0.668085 -0.040537
0.676596 -0.077320
0.685106 -0.053909
0.693617 -0.075541
0.702128 -0.083174
0.710638 -0.078696
0.719149 -0.092753
0.727660 -0.083123
0.736170 -0.096979
0.744681 -0.081461
0.753191 -0.102919
0.761702 -0.084240
0.770213 -0.105632
0.778723 -0.084199
0.787234 -0.109636
0.795745 -0.100312
0.804255 -0.110205
0.812766 -0.118900
0.821277 -0.129507
0.829787 -0.132553
0.838298 -0.144935
0.846809 -0.154821
0.855319 -0.161817
0.863830 -0.181257
0.872340 -0.196202
0.880851 -0.205026
0.889362 -0.217085
0.897872 -0.223380
0.906383 -0.235799
0.914894 -0.241526
0.923404 -0.251412
0.931915 -0.261666
0.940426 -0.269180
0.948936 -0.288493
0.957447 -0.322646
0.965957 -0.354906
0.974468 -0.353733
0.982979 -0.237110
0.991489 -0.010374
1.000000 0.000000
